,Start date,SUBJECT,DESCRIPTION,
Saturday,2025-04-12,"William Forbes, Bishop, 1634 [6] White","Saturday 12 April 2025

William Forbes, Bishop, 1634 [6] White
Saturday after Fifth Sunday of Lent (Violet)
Week of Lent 5
Year C/1

DAILY EUCHARIST
Ezekiel 37:21b-28
Psalm 121
John 11:45-57

DAILY PRAYER: The Suffering Christ 
Jeremiah 31:27-34
Romans 11:25-36
John 11:28-44 or John 12:37-50

COLLECT (Lent 5)
Merciful God,
look upon your family as we travel to the foot of the cross:
and, by your great goodness, guide us in body;
that, by your protection,
we may also be preserved in heart and mind;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Sunday,2025-04-13,Sixth Sunday of Lent (Palm Sunday: The beginning of Holy Week) [1] Red or Violet,"Sunday 13 April 2025

Sixth Sunday of Lent (Palm Sunday: The beginning of Holy Week) [1] Red or Violet
Holy Week (Week of Lent 6)
Year C/1

EUCHARIST
Liturgy of the Palms
Luke 19:28-40
Psalm 118:1-2, 19-29

Liturgy of the Passion
Isaiah 50:4-9a
Psalm 31:9-16
Philippians 2:5-11
Luke 22:14 - 23:56 or Luke 23:1-49

MORNING PRAYER: The Suffering Christ 
Zechariah 9:9-12
1 Timothy 6:12-16

EVENING PRAYER: The Suffering Christ 
Zechariah 12:9-11; 13:1, 7-9
Matthew 21:12-17

COLLECTS (Lent 6: Palm Sunday)

At the Liturgy of the Palms:

Assist us mercifully with your help,
Lord God of our salvation:
that we may enter with joy
into the celebration of those mighty acts
whereby you give us life and immortality;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.

At the Liturgy of the Passion:

Almighty God,
who, in your tender love for the human race,
sent your Son, our Saviour Jesus Christ,
to take our nature upon him,
and to suffer death upon the cross, 
giving us the example of his great humility:
mercifully grant,
that we may both follow the example of his passion,
and also, be made partakers of his resurrection;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-04-14,Monday in Holy Week [1] Red or Violet,"Monday 14 April 2025

Monday in Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year C/1

DAILY EUCHARIST
Isaiah 42:1-9
Psalm 36:5-11
Hebrews 9:11-15
John 12:1-11

DAILY PRAYER: The Suffering Christ 
Jeremiah 12:1-16
Philippians 3:1-14
John 12:9-19

COLLECT (Monday in Holy Week)
Almighty God,
whose most dear Son went not up to joy,
but first he suffered pain,
and entered not into glory before he was crucified:
mercifully grant,
that we, walking in the way of his cross,
may find it none other than the way of life and peace;
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-04-15,Tuesday in Holy Week [1] Red or Violet,"Tuesday 15 April 2025

Tuesday in Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year C/1

DAILY EUCHARIST
Isaiah 49:1-7
Psalm 71:1-14
1 Corinthians 1:18-31
John 12:20-36

DAILY PRAYER: The Suffering Christ 
Jeremiah 15:10-21
Philippians 3:15-21
John 12:20-26

COLLECT (Tuesday in Holy Week)
O God,
who, by the passion of your blessed Son,
made an instrument of shameful death to be for us the means of life:
grant us so to glory in the cross of Christ,
that we may gladly suffer pain and loss;
for the sake of your Son, 
our Saviour Jesus Christ,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-04-16,Wednesday in Holy Week [1] Red or Violet,"Wednesday 16 April 2025

Wednesday in Holy Week [1] Red or Violet
Holy Week (Week of Lent 6)
Year C/1

DAILY EUCHARIST
Isaiah 50:4-9a
Psalm 70
Hebrews 12:1-3
John 13:21-32

DAILY PRAYER: The Suffering Christ 
Jeremiah 17:5-10, 14-17
Philippians 4:1-13
John 12:27-36

COLLECT (Wednesday in Holy Week)
O Lord God,
whose blessed Son, our Saviour,
gave his back to the smiters,
and did not hide his face from shame:
give us grace to endure the sufferings of this present time,
and confidence in the glory that shall be revealed;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-04-17,"Maundy Thursday [1] White at the Eucharist
","Thurdsay 17 April 2025

Maundy Thursday [1] White at the Eucharist
Holy Week (Week of Lent 6)
Year C/1

EUCHARIST
Exodus 12:1-4, (5-10), 11-14
Psalm 116:1-2, 12-19
1 Corinthians 11:23-26
John 13:1-17, 31b-35

DAILY PRAYER: The Suffering Christ 
Jeremiah 20:7-11
1 Corinthians 10:14-17; 11:27-32
John 17:1-11, (12-26)

COLLECTS (Maundy Thursday)

At Daily Prayer the Collect for Palm Sunday (The Liturgy of the Passion) is used.

Almighty God,
who, in your tender love for the human race,
sent your Son, our Saviour Jesus Christ,
to take our nature upon him,
and to suffer death upon the cross, 
giving us the example of his great humility:
mercifully grant,
that we may both follow the example of his passion,
and also, be made partakers of his resurrection;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

At the Eucharist in the Evening

O God our Father,
as you invite us to share in the supper 
that your Son gave to his Church 
to proclaim his death until he comes:
inspire us by his service,
and unite us in his love;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-04-18,Good Friday [1] Red for the Liturgy; Hangings removed,"Friday 18 April 2025

Good Friday [1] Red for the Liturgy; Hangings removed
Holy Week (Week of Lent 6)
Year C/1

HOLY COMMUNION
Isaiah 52:13 - 53:12
Psalm 22
Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9
John 18:1 - 19:42

MORNING PRAYER: The Suffering Christ 
Wisdom of Solomon 1:16 - 2:1, 12-22 or Genesis 22:1-14
1 Peter 1:10-20
John 13:36-38

EVENING PRAYER: The Suffering Christ 
Wisdom of Solomon 1:16 - 2:1, 12-22 or Genesis 22:1-14
1 Peter 1:10-20
John 19:38-42

COLLECT (Good Friday)
Almighty Father,
look with mercy on this your family:
for which our Lord Jesus Christ was willing to be betrayed,
given up into the hands of sinners,
and to suffer death upon the cross;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-04-19,Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,"Saturday 19 April 2025

Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil
Holy Week (Week of Lent 6)
Year C/1

AT SERVICES OTHER THAN THE EASTER VIGIL
Job 14:1-14 or Lamentations 3:1-9, 19-24
Psalm 31:1-4, 15-16
1 Peter 4:1-8
Matthew 27:57-66 or John 19:38-42

DAILY PRAYER: The Suffering Christ 
Job 19:21-27a
Morning: Hebrews 4:1-16
Evening: Romans 8:1-11

COLLECT (Holy Saturday during the day)
O God,
creator of heaven and earth:
as the crucified body of your dear Son was laid in the tomb,
and rested on this holy Sabbath;
so may we await with him 
the coming of the third day,
and rise with him to newness of life;
through Jesus Christ, our Lord, 
who now lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

EASTER VIGIL
A minimum of three Old Testament readings (with their psalm or canticle) should be chosen. The reading from Exodus 14 should always be used.
Genesis 1:1-2:4a / Psalm 136:1-9, 23-26
Genesis 7:1-5,11-18; 8:6-18; 9:8-13 / Psalm 46
Genesis 22:1-18 / Psalm 16
Exodus 14:10-31; 15:20-21 / Canticle: Exodus 15:1b-13, 17-18
Isaiah 55:1-11 / Canticle: Isaiah 12:2-6
Baruch 3:9-15, 32 - 4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 / Psalm 19
Ezekiel 36:24-28 / Psalms 42 and 43
Ezekiel 37:1-14 / Psalm 143
Zephaniah 3:14-20 / Psalm 98

New Testament reading
Romans 6:3-11
Gradual Psalm: Psalm 114
Gospel (Year C): Luke 24:1-12

COLLECT (Easter Vigil)
O God,
who made this most holy night
to shine with the glory of the Lord's resurrection:
stir up in your Church 
that Spirit of adoption given to us in baptism;
that, being renewed both in body and mind,
we may worship you in sincerity and truth;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.
",
Sunday,2025-04-20,Easter Day [1] White,"Sunday 20 April 2025

Easter Day [1] White
Week of Easter
Year C/1

EUCHARIST
Acts 10:34-43 or Isaiah 65:17-25
Psalm 118:1-2, 14-24
1 Corinthians 15:19-26 or Acts 10:34-43
John 20:1-18 or Luke 24:1-12

The following readings are for occasions when the main (eucharistic) Easter service must be late in the day. They are not intended for Evening Prayer on Easter Day.

Isaiah 25:6-9
Psalm 114
1 Corinthians 5:6b-8
Luke 24:13-49

DAILY PRAYER: New Life: The Lord
Song of Solomon 3:2-5; 8:6-7
Revelation 1:12-18
John 20:11-18

ALTERNATIVE PSALMS
Morning: Psalms 114 and 117
Evening: Psalm 66

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-04-21,Monday in Easter week,"Monday 21 April 2025

Monday in Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 2:14, 22-32
Psalm 16:1, 5-11
Matthew 28:8-15

DAILY PRAYER: New Life: The Lord
Jonah 2:1-9
Acts 2:14, 22-32* or 1 Corinthians 15:1-11
John 14:1-14

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-04-22,Tuesday in Easter week,"Tuesday 22 April 2025

Tuesday in Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 2:14, 36-41
Psalm 33:1-5, 18-22
John 20:11-18

DAILY PRAYER: New Life: The Lord
Isaiah 30:18-21
Acts 2:14, 36-41, (42-47)* or 1 Corinthians 15:12-28
John 14:15-31

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-04-23,Wednesday in Easter week,"Wednesday 23 April 2025

Wednesday of Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 3:1-10
Psalm 105:1-9
Luke 24:13-35

DAILY PRAYER: New Life: The Lord
Micah 7:7-15
Acts 3:1-10* or 1 Corinthians 15:(29), 30-41
John 15:1-11

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

George, Patron of England, Martyr, c.303 [6] Red",
Thursday,2025-04-24,Thursday in Easter week,"Thursday 24 April 2025

Thursday in Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 3:11-26
Psalm 8 or 114
Luke 24:36b-48

DAILY PRAYER: New Life: The Lord
Ezekiel 37:1-14
Acts 3:11-26* or 1 Corinthians 15:41-50
John 15:12-27

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-04-25,Friday in Easter week,"Friday 25 April 2025

Friday of Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 4:1-12
Psalm 116:1-8
John 21:1-14

DAILY PRAYER: New Life: The Lord
Daniel 12:1-4, 13
Acts 4:1-12* or 1 Corinthians 15:51-58
John 16:1-15

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-04-26,Saturday in Easter week,"Saturday 26 April 2025

Saturday of Easter week (White)
Week of Easter
Year C/1

EUCHARIST
Acts 4:13-21
Psalm 118:1-4, 22-29
Mark 16:9-15

DAILY PRAYER: New Life: The Lord
Isaiah 25:1-9
Acts 4:13-21, (22-31)* or 2 Corinthians 4:16 - 5:10
John 16:16-33

* Duplicates the first lesson at the Eucharist. The reading from Year 2 may be substituted.

COLLECTS (Easter Day)
Almighty God,
who, through your Son, Jesus Christ,
have overcome death and opened the gates of eternal life:
grant that we, who celebrate with joy the day of his resurrection,
may be raised from the death of sin by your life-giving Spirit;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end. 
Easter Week

O Lord of life and power,
who, through the mighty resurrection of your Son,
have overcome the old order of sin and death,
and have made all things new in him:
grant that we, being dead to sin,
and alive to you in Jesus Christ,
may reign with him in glory;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-04-27,Second Sunday of Easter [1] White; SPB First Sunday after Easter,"Sunday 27 April 2025

Second Sunday of Easter [1] White; SPB First Sunday after Easter
Week of Easter 2
Year C/1

EUCHARIST
Acts 5:27-32
Psalm 118:14-29 or Psalm 150
Revelation 1:4-8
John 20:19-31

DAILY PRAYER: New Life: The Lord
Daniel 6:(1-5), 6-23
1 Corinthians 5:6b-8
Mark 15:46 - 16:8

ALTERNATIVE PSALMS
Morning: Psalm 30:1-5
Evening: Psalm 143:1-11

COLLECT (Easter 2)
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-04-28,"Mark, Evangelist [4] Red (transferred from 25 April)","Monday 28 April 2025

Mark, Evangelist [4] Red (transferred from 25 April)
Week of Easter 2
Year C/1

EUCHARIST
Isaiah 52:7-10
Psalm 2:7-13 or Psalm 119:9-16
Ephesians 4:7-16
Mark 1:1-15 or Mark 13:5-13

MORNING PRAYER: Festivals
Sirach 2:1-11
Acts 12:25 - 13:3

EVENING PRAYER: Festivals
Isaiah 62:6-12
2 Timothy 4:1-11

COLLECT (Mark)
Almighty God, 
you have instructed your holy Church 
with the heavenly teaching of your evangelist, Saint Mark: 
give us grace, that we may be firmly grounded in its truth;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Second Sunday of Easter (White)
Week of Easter 2
Year C/1

DAILY EUCHARIST
Acts 4:23-31
Psalm 2
John 3:1-8

DAILY PRAYER: New Life: The Lord
Daniel 1:1-21
1 John 1:1-10
John 17:1-11

COLLECT (Easter 2)
Almighty God:
in your great goodness, 
grant that we, as pilgrims through the Easter mysteries, 
may hold them fast in our lives; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
